CampaignID,StartDate,EndDate,Channel,AdSpend,Clicks,Conversions,RevenueGenerated,CostPerClick,ConversionRate,Impressions,BounceRate,EngagementScore,TargetAudience,Region,CampaignType,Budget,CTR,CPC,CPA
CMP0103,2022-01-06,2023-11-04,Social Media,8468.64,3420,3270,4224.17,4.61,0.18,27274,0.16,6.56,Teens,North,Retention,32340.3,0.15,2.27,38.72
CMP0436,2023-07-26,2022-11-12,Social Media,4457.72,666,2374,8540.89,3.37,0.2,81206,0.1,7.1,Adults,West,Retention,22875.76,0.02,1.56,47.1
CMP0349,2022-11-14,2022-05-15,Search,4871.75,2142,4624,8483.65,2.39,0.14,43803,0.2,4.4,Teens,North,Awareness,36152.87,0.2,1.46,38.68
CMP0271,2023-09-18,2023-03-11,Search,9003.72,8921,933,12833.74,1.05,0.32,39491,0.58,5.49,Adults,South,Retention,39718.08,0.05,1.21,18.57
CMP0107,2023-01-05,2022-11-27,Social Media,5954.32,2835,1460,2520.95,3.45,0.2,36167,0.89,7.11,Adults,South,Conversion,34983.68,0.1,0.2,42.73
CMP0072,2023-11-05,2022-05-04,Affiliate,8819.59,5573,1555,12891.18,0.57,0.28,53441,0.67,5.75,Adults,West,Conversion,19304.79,0.05,2.55,29.33
CMP0189,2023-10-28,2023-11-16,Social Media,4969.21,824,4796,9345.84,1.67,0.14,67493,0.23,1.68,Seniors,East,Conversion,2706.54,0.06,1.93,36.88
,2022-09-07,2022-05-14,Email,2080.97,7919,3823,4549.25,2.91,0.43,70321,0.79,4.26,Teens,South,Conversion,7776.32,0.02,1.49,18.26
CMP0103,2022-01-05,2023-11-22,Email,7286.68,4148,2914,15675.31,3.27,0.11,45392,0.63,9.74,Seniors,West,Retention,23729.44,0.14,1.69,49.18
CMP0122,2022-12-23,2022-01-12,Affiliate,5311.29,7080,2268,9744.23,0.18,0.44,17534,0.34,5.51,Adults,East,Conversion,29675.36,0.11,0.67,32.63
CMP0467,2022-05-04,2022-07-05,Affiliate,6717.55,2998,3874,14482.69,0.14,0.1,16744,0.5,4.69,Teens,South,Awareness,5578.11,0.14,2.86,43.67
CMP0215,2023-12-04,2023-12-21,Search,1656.59,1564,4552,18451.11,0.65,0.19,48695,0.42,9.0,Seniors,North,Awareness,23685.47,0.08,0.88,46.17
CMP0331,2023-11-28,2023-10-06,Email,6511.26,9599,79,7391.39,3.86,0.39,54972,0.8,6.97,Adults,South,Conversion,15020.73,0.17,0.1,28.83
CMP0459,2023-10-23,2022-05-07,Social Media,3884.35,5714,1334,18009.14,2.88,0.25,31894,0.86,4.84,Adults,North,Conversion,4342.42,0.11,1.83,39.18
