CustomerID,CLV,TenureMonths,AvgOrderValue,TotalOrders,RepeatRate,ReferralCount,SignupDate,LastOrderDate,CustomerSegment,Region,EmailEngagement,MobileAppUsage,SupportInteractions,SatisfactionScore,ChurnRisk,PromoUsageRate,AvgDeliveryTime,CartAbandonRate,ReviewCount
CUST01930,1318.28,14,58.5,72,0.78,13,2023-04-02,2022-02-25,New,East,1.0,0.4,5,1.2,0.58,0.68,7.26,0.04,18
CUST01987,5022.08,8,299.01,13,0.64,13,2023-08-24,2022-02-28,Returning,West,0.12,0.89,2,2.0,0.41,0.21,4.3,0.24,18
CUST01198,4469.56,16,78.75,97,0.31,18,2022-01-15,2023-12-09,Returning,East,0.03,0.57,1,4.5,0.84,0.36,6.56,0.23,27
CUST01593,1990.65,58,402.52,4,0.66,11,2023-03-25,2022-11-19,VIP,East,0.28,0.83,9,2.9,0.34,0.91,4.23,0.47,84
CUST01419,9984.46,20,209.0,90,0.19,9,2023-11-23,2023-07-26,New,North,0.63,0.86,4,4.7,0.48,0.45,2.97,0.05,20
CUST00113,1568.64,14,115.8,75,0.6,1,2023-03-12,2022-07-19,VIP,North,0.24,0.04,5,3.6,0.18,0.05,1.11,0.23,85
CUST01294,4354.19,6,81.98,5,0.37,5,2022-06-26,2022-05-19,Returning,North,0.7,0.99,7,3.6,0.16,0.53,3.97,0.23,71
CUST02932,4359.19,7,44.2,36,0.88,10,2023-08-06,2022-04-13,New,West,0.14,0.22,6,2.3,0.29,0.87,4.59,0.39,72
CUST00525,410.41,16,275.4,35,0.11,16,2022-09-23,2023-07-01,VIP,North,0.26,0.84,8,4.6,0.42,0.4,7.94,0.49,87
CUST01642,4112.6,13,423.7,38,0.2,11,2023-08-16,2022-08-27,Returning,South,0.78,0.4,0,1.5,0.17,0.07,9.23,0.27,15
CUST00640,9620.8,7,358.12,49,0.69,2,2023-04-18,2023-04-22,Returning,East,0.29,0.55,2,2.5,0.43,0.78,7.34,0.4,99
,4826.42,53,181.23,69,0.49,9,2023-06-30,2022-03-30,VIP,South,0.68,0.73,8,2.2,0.34,0.58,2.6,0.39,1
CUST02254,12/05/2023,33,388.3,52,0.54,19,2023-04-15,2023-08-11,New,East,0.36,0.24,9,4.5,0.02,0.53,5.27,0.32,65
CUST02222,8494.31,53,316.24,72,0.16,2,2022-03-16,2023-04-08,New,West,0.57,0.48,6,4.0,0.88,0.44,5.3,0.3,18
CUST01125,754.52,12,239.05,68,0.87,12,2023-09-22,2023-08-16,New,West,0.1,0.28,3,2.5,0.02,0.69,4.58,0.0,92
CUST01486,4498.67,34,182.1,27,0.2,14,2023-07-17,2022-03-10,New,South,0.89,0.01,1,1.8,0.85,0.4,2.13,0.3,42
