CustomerID,LastPurchaseDate,ChurnFlag,LoyaltyTier,Region,TotalOrders,AvgOrderValue,DiscountRate,CustomerAge,SignupDate,EmailOptIn,MobileAppUser,ReferralSource,SupportTickets,AvgResponseTime,SatisfactionScore,IsPremiumMember,LastLogin,CartAbandonRate,ReviewCount
CUST00861,2022-09-06,0,Platinum,East,2,33.69,0.16,25,2023-05-12,False,True,Friend,1,45.2,1.4,True,2023-05-20,0.21,87
CUST01295,2023-10-02,0,Gold,Central,30,90.66,0.04,54,2023-05-19,False,True,Email,0,26.4,4.6,True,2022-01-26,0.33,92
CUST01131,2022-07-27,1,Platinum,North,44,340.16,0.14,31,2022-09-07,False,True,Friend,6,30.8,1.1,True,2023-12-01,0.18,7
CUST01096,2022-04-16,1,Platinum,West,9,257.13,0.29,21,2022-07-23,True,True,Social Media,7,34.8,1.8,True,2022-06-06,0.49,71
CUST01639,2022-06-11,1,Bronze,North,23,381.08,0.23,44,2023-01-28,False,True,Search,2,2.7,2.1,False,2023-07-27,0.2,15
CUST02170,2023-09-11,1,Platinum,South,9,112.03,0.09,32,2023-10-26,True,False,Search,5,9.5,2.5,False,2023-12-18,0.1,73
CUST00467,2023-10-07,1,Gold,Central,20,196.14,0.28,37,2022-03-29,False,True,Friend,0,43.5,2.4,True,2022-06-01,0.03,3
CUST01239,2022-06-23,1,Bronze,North,1,446.48,0.23,39,2023-10-22,False,True,Social Media,3,38.0,4.6,False,2023-04-16,0.3,23
CUST00331,2023-02-13,1,Silver,North,39,469.14,0.11,59,2022-05-15,True,False,Social Media,1,4.1,4.2,True,2022-01-01,0.33,37
CUST01483,2022-11-11,0,Bronze,North,23,462.43,0.18,66,2022-09-12,True,True,Social Media,0,38.0,1.8,True,2022-04-16,0.2,65
CUST02136,2023-07-13,1,Gold,South,18,412.79,0.13,53,2022-08-09,True,False,Friend,2,43.3,4.8,False,2022-01-26,0.47,70
CUST02920,2023-02-18,0,Bronze,South,42,350.35,0.03,47,2022-10-26,True,True,Email,1,8.9,2.4,False,2023-03-19,0.02,2
CUST00131,2023-02-06,0,Gold,South,32,458.57,0.24,50,2022-12-09,False,True,Social Media,4,3.9,1.9,True,2023-05-21,0.27,18
CUST01686,2023-08-08,1,Gold,North,47,362.81,0.06,45,2023-12-19,True,False,Email,8,41.6,4.8,False,2023-12-31,0.37,8
CUST00770,2022-06-28,1,Bronze,West,9,477.89,0.14,55,2023-07-30,False,False,Search,7,29.2,3.3,False,2022-05-04,0.23,32
CUST02392,2023-07-13,1,Gold,,11,31.9,0.21,57,2023-03-14,True,False,Friend,1,47.5,3.4,True,2023-05-04,0.32,28
CUST01516,2023-05-11,1,Silver,Central,1,462.39,0.28,21,2022-12-15,True,False,Social Media,6,34.1,3.6,False,2022-05-22,0.41,29
CUST02854,2023-07-17,1,Gold,South,11,286.76,0.02,31,2023-08-22,False,False,Search,2,25.0,3.5,False,2023-04-13,0.37,50
CUST02434,2022-07-18,0,Silver,North,33,73.66,0.12,19,2022-07-17,True,True,Friend,5,12.5,3.5,False,2023-12-24,0.27,95
CUST01216,2022-06-22,0,Silver,West,30,123.16,0.18,54,2023-04-19,True,True,Search,8,33.9,1.0,True,2023-11-25,0.47,18
CUST00956,2022-09-23,1,Gold,East,5,429.04,0.23,64,2023-02-10,True,False,Social Media,2,4.6,3.7,False,2023-09-05,0.5,67
CUST02325,2023-02-18,1,Platinum,South,1,262.94,0.28,36,2022-10-05,False,False,Email,9,20.5,4.0,False,2022-03-15,0.3,84
CUST01185,2023-04-06,1,Silver,East,10,491.75,0.0,31,2023-09-28,False,True,Friend,9,17.3,1.1,False,2023-05-10,0.05,18
CUST00460,2023-04-09,1,Silver,Central,13,76.41,0.19,24,2022-02-22,False,False,Search,1,29.3,3.5,True,2023-02-10,0.12,22
CUST00022,2022-10-23,0,Bronze,Central,27,218.0,0.0,26,2023-11-30,False,True,Search,1,11.4,2.1,True,2022-09-28,0.39,62
CUST02301,2023-01-25,0,Silver,West,8,179.3,0.24,50,2022-03-21,False,False,Email,4,8.7,3.5,True,2023-12-26,0.21,30
CUST00748,2022-11-30,0,Silver,West,28,267.75,0.04,41,2022-11-16,True,True,Search,5,8.0,2.1,True,2023-03-06,0.31,11
CUST02905,2023-12-14,1,Silver,East,45,324.05,0.27,69,2023-02-21,True,False,Social Media,3,15.6,1.4,False,2023-06-19,0.02,66
CUST00475,2023-10-10,1,Silver,Central,2,337.58,0.05,59,2023-06-03,True,True,Email,5,41.6,1.7,True,2022-07-27,0.49,42
CUST01083,2023-05-16,1,Platinum,West,12,20.62,0.23,60,2023-04-14,True,True,Social Media,3,19.7,4.7,False,2023-09-22,0.21,41
CUST02559,2022-01-07,0,Silver,West,27,62.7,0.09,38,2022-06-25,True,True,Social Media,4,42.9,2.8,True,2023-09-28,0.39,50
CUST02048,2022-09-26,0,Gold,Central,13,36.83,0.17,61,2022-05-16,False,False,Social Media,6,36.1,4.7,True,2022-10-25,0.37,83
CUST02748,2022-05-03,0,Platinum,Central,22,435.01,0.18,18,2023-06-23,True,True,Friend,5,34.6,2.9,True,2022-06-27,0.24,89
CUST00976,2023-10-24,1,Silver,North,40,170.38,0.06,38,2023-01-17,False,True,Search,1,37.1,4.6,False,2022-07-31,0.41,37
CUST01807,2022-05-23,0,Gold,West,15,196.19,0.09,57,2023-08-20,False,False,Friend,8,24.7,3.3,False,2022-01-07,0.17,5
CUST00190,2023-09-02,1,Gold,East,31,236.18,0.03,41,2023-04-15,True,False,Search,9,13.6,2.4,False,2022-01-25,0.03,53
CUST02735,2022-09-22,0,Platinum,South,7,427.67,0.0,55,2022-09-29,False,False,Email,4,9.4,1.9,True,2023-04-10,0.19,47
CUST00563,2022-02-15,1,Platinum,South,39,26.8,0.07,61,2022-11-28,True,False,Friend,8,24.4,2.5,False,2023-07-17,0.29,8
CUST01900,2023-06-30,1,Gold,Central,49,76.94,0.15,58,2023-08-04,False,True,Search,4,18.7,1.7,True,2023-04-10,0.02,55
CUST01268,2023-06-27,1,Platinum,East,35,348.88,0.21,21,2023-10-01,True,True,Social Media,2,31.9,4.9,False,2022-11-20,0.34,33
CUST02880,2023-11-11,1,Platinum,North,7,482.67,0.24,23,2022-01-26,True,False,Email,6,17.4,2.4,True,2022-10-11,0.48,24
CUST01529,2022-08-20,0,Bronze,West,12,328.54,0.02,20,2022-09-12,False,True,Email,7,3.7,3.2,False,2023-03-28,0.11,27
CUST00647,2023-04-01,0,Platinum,North,14,145.34,0.08,51,2023-08-16,True,False,Social Media,4,18.8,5.0,False,2023-10-08,0.02,34
CUST02069,2024-01-01,0,Bronze,East,34,269.53,0.23,42,2023-06-22,True,True,Friend,8,42.6,3.1,False,2023-11-08,0.04,72
CUST02889,2023-10-20,1,Platinum,North,39,487.99,0.14,44,2022-08-27,False,True,Search,2,34.2,2.2,False,2022-10-29,0.03,81
CUST02215,2022-08-02,0,Platinum,Central,48,273.48,0.05,35,2023-06-06,True,False,Email,7,19.1,3.5,True,2023-01-02,0.45,27
CUST01298,2023-03-22,1,Gold,South,9,199.28,0.12,22,2022-05-24,True,False,Search,1,10.9,4.3,True,2023-04-19,0.09,53
CUST02436,2023-04-15,0,Bronze,Central,33,204.04,0.08,41,2022-03-09,False,True,Email,9,27.6,3.5,False,2022-03-05,0.15,11
CUST00601,2023-03-02,0,Platinum,West,12,484.18,0.02,49,2022-03-25,True,True,Social Media,0,45.0,1.9,False,2023-03-16,0.46,85
CUST02364,2023-03-16,1,Silver,Central,34,365.08,0.23,38,2023-07-01,True,False,Social Media,6,28.3,1.8,False,2023-09-26,0.04,41
CUST02062,2023-06-05,1,Platinum,East,27,349.84,0.09,61,2023-11-26,True,False,Friend,9,42.8,3.9,False,2022-07-14,0.3,24
CUST00242,2022-08-22,1,Gold,East,22,131.39,0.28,51,2022-07-06,True,True,Email,4,34.2,4.4,False,2022-11-16,0.13,33
CUST02042,2023-07-06,0,Gold,West,18,288.55,0.27,46,2023-08-22,True,True,Social Media,6,6.6,3.8,False,2023-11-28,0.47,41
CUST02825,2023-02-25,1,Gold,West,46,191.24,0.21,22,2023-08-20,True,True,Social Media,2,34.0,1.4,True,2022-12-29,0.0,92
CUST02613,2022-07-10,0,Bronze,South,44,135.3,0.1,67,2022-08-02,False,True,Social Media,2,29.5,2.3,True,2022-03-08,0.22,49
CUST02946,2022-01-04,0,Bronze,North,18,449.87,0.08,45,2023-06-22,False,False,Search,0,17.9,3.7,False,2023-07-27,0.47,63
CUST01364,2023-09-25,0,Bronze,South,37,203.91,0.14,23,2022-12-29,False,False,Email,2,45.8,3.8,False,2023-08-02,0.31,8
CUST02140,2023-04-15,1,Silver,Central,7,155.74,0.11,28,2022-11-21,False,True,Friend,0,16.5,2.9,False,2023-04-15,0.14,92
CUST01391,2023-09-16,0,Bronze,North,4,467.23,0.27,56,2022-11-12,False,False,Search,3,5.0,2.2,False,2023-01-12,0.36,65
CUST01479,2023-02-25,1,Gold,West,45,114.73,0.04,65,2022-02-21,False,False,Friend,9,12.6,1.4,False,2023-05-20,0.32,84
CUST02557,2023-10-26,1,Bronze,East,16,377.84,0.22,25,2023-09-10,False,True,Social Media,4,21.5,1.2,True,2022-11-18,0.15,50
CUST00776,2022-11-24,0,Bronze,Central,22,333.32,0.18,52,2023-12-20,True,True,Friend,9,42.8,1.5,False,2022-05-10,0.49,27
CUST00035,2023-12-26,0,Platinum,South,48,461.83,0.24,28,2023-07-24,True,False,Friend,8,2.3,2.3,False,2023-03-19,0.44,68
CUST02254,2022-09-17,0,Bronze,West,36,419.38,0.16,37,2023-08-25,True,False,Social Media,0,38.5,3.4,True,2022-11-23,0.36,25
CUST01956,2023-05-30,0,Platinum,North,20,358.54,0.19,68,2022-06-14,False,False,Email,7,14.0,4.4,True,2023-05-09,0.26,64
CUST01586,2022-05-02,1,Bronze,North,31,170.99,0.29,60,2023-05-25,False,False,Email,3,29.3,2.0,False,2022-12-28,0.13,47
CUST01022,2022-01-23,1,Platinum,East,33,257.87,0.03,39,2023-09-06,False,False,Search,3,18.8,1.3,True,2023-05-15,0.18,83
CUST02614,2023-12-27,1,Gold,West,13,473.36,0.03,58,2022-06-08,True,False,Friend,0,13.4,4.9,True,2022-09-22,0.23,20
CUST01130,2022-06-07,1,Bronze,,20,31.14,0.12,29,2023-05-09,True,False,Email,7,24.8,3.5,False,2022-05-04,0.01,1
CUST01501,2022-10-29,1,Gold,Central,41,401.28,0.14,65,2023-10-21,False,True,Search,4,18.6,1.6,True,2022-02-13,0.3,12
CUST00703,2022-12-29,1,Bronze,Central,42,140.87,0.06,22,2023-04-30,False,True,Search,2,19.5,2.0,False,2022-05-15,0.03,91
CUST02450,2022-06-08,1,Silver,North,38,108.81,0.02,51,2023-03-26,False,True,Email,4,8.6,2.7,False,2023-12-14,0.22,79
CUST02778,2022-06-15,1,Silver,South,22,131.47,0.01,59,2022-12-07,False,False,Email,6,7.7,4.9,False,2022-02-06,0.33,57
CUST01580,2023-09-19,1,Gold,North,39,48.68,0.23,51,2023-12-15,True,True,Friend,8,13.3,1.5,False,2023-11-01,0.22,65
CUST00162,2022-05-16,0,Gold,Central,23,496.15,0.15,47,2022-09-25,True,False,Email,8,28.7,2.7,False,2023-12-22,0.17,16
CUST00202,2023-06-11,0,Silver,Central,48,437.54,0.25,40,2022-08-28,True,True,Email,6,12.0,2.7,False,2023-11-01,0.11,41
CUST01982,2023-07-16,1,Silver,Central,49,270.11,0.11,53,2022-12-10,False,False,Search,8,37.3,5.0,False,2022-11-04,0.03,72
CUST00996,2022-01-26,1,Platinum,North,33,363.25,0.21,42,2023-12-18,True,True,Email,8,39.3,1.8,False,2022-08-21,0.16,69
CUST02318,2022-02-14,0,Bronze,West,41,287.17,0.15,65,2023-02-09,False,True,Social Media,2,8.6,2.9,False,2022-09-07,0.28,65
CUST00816,2023-10-16,0,Silver,South,30,409.56,0.18,23,2023-07-14,False,True,Social Media,4,46.9,4.9,False,2023-07-15,0.14,95
