TransactionID,Region,GeoZone,DeliveryDistance,DeliveryTime,ShippingMethod,LocalTaxRate,OrderValue,ProductCategory,CustomerID,WarehouseID,DeliveryStatus,DeliveryDate,OrderDate,DeliveryPartner,ShippingCost,HandlingFee,IsGift,GiftWrap,CustomerRegion
TXN000000,East,Suburban,68.06,12,Express,0.07,342.85,Electronics,CUST02032,WH019,Delivered,2023-07-04,2022-10-18,FedEx,13.21,4.52,True,False,East
TXN000001,North,Rural,10.65,13,Same Day,0.14,899.84,Clothing,CUST01284,WH004,Returned,2022-04-29,2022-04-23,DHL,23.9,14.84,False,True,North
TXN000002,East,Urban,19.19,14,Same Day,0.13,643.0,Books,CUST01175,WH010,Returned,2022-03-30,2023-12-07,FedEx,24.63,7.93,False,True,South
TXN000003,West,Suburban,26.49,2,Standard,0.12,983.3,Home,CUST00249,WH003,Returned,2023-03-14,2022-07-30,Local,42.82,19.5,False,True,North
TXN000004,North,Suburban,52.33,1,Standard,0.12,455.75,Home,CUST01961,WH046,Delayed,2022-06-02,2022-09-20,Local,18.99,13.55,True,False,North
TXN000005,West,Urban,14.3,7,Standard,0.06,94.77,Home,CUST01880,WH006,Delivered,2023-12-25,2023-06-18,DHL,15.88,16.58,True,False,West
TXN000006,North,Suburban,65.75,4,Same Day,0.07,606.9,Electronics,CUST01671,WH049,Delayed,2023-09-10,2022-03-21,Local,18.81,10.12,False,True,East
TXN000007,Central,Urban,12.25,13,Same Day,0.15,902.44,Books,CUST02959,WH009,Delivered,2023-06-30,2023-11-29,DHL,21.05,17.52,True,False,East
TXN000008,West,Suburban,28.73,12,Express,0.09,314.8,Electronics,CUST00623,WH007,Delayed,2023-04-07,2023-05-30,DHL,25.92,19.95,True,False,South
TXN000009,East,Rural,74.5,2,Same Day,0.12,52.16,Books,CUST01138,WH001,Delayed,2023-05-17,2023-01-11,Local,29.44,16.32,True,True,South
TXN000010,North,Rural,70.3,11,Same Day,0.15,530.29,Home,CUST00519,WH038,Delayed,2023-02-19,2022-07-12,Local,45.43,14.61,True,False,West
TXN000011,12/05/2023,Urban,90.01,5,Express,0.12,563.11,Books,CUST02526,WH011,Returned,2022-09-28,2022-01-20,Local,23.12,4.83,True,False,South
TXN000012,North,Suburban,58.83,5,Express,0.09,664.88,Home,CUST02291,WH040,Returned,2022-05-20,2023-12-26,DHL,38.54,4.5,True,True,East
TXN000013,South,Suburban,87.18,6,Same Day,0.12,386.56,Home,CUST02825,WH041,Returned,2022-10-18,2023-09-21,Local,33.89,13.79,False,False,North
TXN000014,Central,Rural,85.53,9,Same Day,0.07,215.92,Electronics,CUST02163,WH019,Returned,2023-05-14,2022-01-17,DHL,11.59,12.6,True,True,East
TXN000015,North,Urban,46.06,8,Standard,0.14,44.42,Clothing,CUST02935,WH032,Returned,2022-05-22,2023-09-07,Local,21.44,8.62,False,True,West
TXN000016,East,Urban,85.38,5,Standard,0.08,450.87,Books,CUST02269,WH034,Returned,2022-06-04,2022-06-17,DHL,13.23,3.84,True,True,South
TXN000017,South,Urban,71.71,7,Express,0.07,568.98,Electronics,CUST02107,WH029,Delayed,2023-07-16,2022-11-23,Local,46.67,8.81,False,True,West
