ProductID,StockLevel,RestockDate,LeadTime,SupplierID,WarehouseID,InventoryTurnover,BackorderRate,StockoutFlag,ReorderPoint,SafetyStock,DemandForecast,ActualDemand,OverstockFlag,StorageCost,HandlingCost,InventoryValue,ProductCategory,Region,SupplierRating
,652,2023-06-07,20,SUP0163,WH029,6.22,0.17,0,116,68,868.96,591.47,0,966.41,260.15,11659.16,Home,North,4.1
PROD0038,212,2023-07-09,2,SUP0056,WH034,4.41,0.12,0,69,33,533.93,384.03,0,325.15,273.44,34995.82,Books,South,2.7
PROD0957,877,2023-10-05,12,SUP0039,WH049,6.05,0.21,0,90,96,986.09,190.17,1,596.11,430.5,23102.7,Books,South,2.7
PROD0979,616,2022-03-15,28,SUP0096,WH010,9.29,0.12,1,298,36,611.63,159.52,1,664.66,287.28,42869.62,Books,North,4.8
PROD0579,359,2023-07-04,21,SUP0118,WH005,12.16,0.2,0,160,49,113.32,698.14,1,558.9,480.69,5936.46,Clothing,North,3.5
PROD0487,643,2023-09-28,6,SUP0147,WH021,12.15,0.27,0,111,66,304.2,905.98,0,348.1,397.93,12767.58,Books,North,3.8
PROD0374,49,2023-03-17,9,SUP0143,WH028,14.94,0.01,0,179,49,598.28,948.19,1,817.67,226.72,47122.36,Electronics,North,2.5
PROD0089,128,2022-02-11,29,SUP0106,WH007,9.57,0.15,0,58,26,800.79,607.71,0,548.79,390.22,25975.77,Clothing,South,4.7
PROD0056,941,2023-07-15,2,SUP0054,WH006,1.13,0.29,0,59,67,800.11,976.52,0,143.27,135.74,21405.29,Books,East,1.7
PROD0461,582,2022-10-25,16,SUP0200,WH029,8.44,0.19,0,238,98,702.03,657.49,1,197.02,433.86,15202.89,Books,North,4.8
PROD0076,933,2023-02-28,28,SUP0111,WH023,12.91,0.14,0,214,58,159.3,926.88,0,436.24,57.85,11212.94,Books,East,3.5
PROD0726,125,2022-02-26,11,SUP0068,WH007,6.78,0.18,0,136,58,398.89,924.82,1,125.4,92.52,32738.19,Clothing,West,3.2
PROD0770,244,2022-12-02,4,SUP0179,WH022,6.67,0.05,1,240,75,719.21,818.45,1,126.35,352.53,7677.4,Clothing,East,3.1
PROD0321,968,2022-04-27,6,SUP0009,WH040,3.23,0.05,1,265,52,205.3,334.21,0,697.66,436.38,23944.52,Electronics,East,2.8
PROD0761,570,2023-05-06,3,SUP0074,WH030,11.72,0.21,1,76,61,628.67,929.13,1,719.12,291.78,38007.18,Clothing,North,2.3
PROD0382,12/05/2023,2023-01-07,7,SUP0060,WH018,6.91,0.22,1,217,78,482.35,101.62,1,286.25,307.59,38107.52,Home,North,1.4
PROD0232,547,2023-10-26,14,SUP0113,WH027,7.61,0.27,0,253,77,280.88,949.61,0,430.63,196.89,31657.86,Books,West,1.2
PROD0312,253,2022-04-06,25,SUP0085,WH037,7.56,0.23,0,296,54,288.39,370.49,0,535.93,311.1,9908.31,Clothing,East,3.0
PROD0268,35,2022-01-31,2,SUP0127,WH016,5.32,0.3,0,125,72,949.95,600.39,1,343.69,450.39,27306.72,Electronics,South,1.6
PROD0136,12/05/2023,2023-10-28,8,SUP0198,WH036,13.41,0.03,1,196,98,419.81,814.52,1,516.11,356.79,33079.33,Electronics,West,3.2
PROD0883,19,2023-11-21,4,SUP0054,WH032,5.28,0.09,1,107,94,657.82,834.52,0,170.39,57.1,7132.69,Books,East,3.9
PROD0435,683,2022-09-24,12,SUP0042,WH031,1.89,0.07,1,193,34,236.36,236.42,0,357.57,205.58,5974.85,Books,West,2.6
PROD0498,786,2023-05-01,18,SUP0092,WH007,4.98,0.11,0,51,69,568.08,451.49,0,942.86,323.37,9175.99,Clothing,East,4.2
PROD0515,157,2022-01-06,1,SUP0111,WH016,4.01,0.12,1,187,95,345.88,974.82,1,396.15,194.08,29627.2,Books,West,2.8
PROD0895,128,2022-05-01,2,SUP0152,WH030,4.0,0.03,1,250,59,164.83,435.09,1,717.17,335.27,41595.54,Electronics,East,4.5
PROD0428,679,2022-11-04,18,SUP0059,WH033,6.76,0.09,0,273,70,878.18,842.83,1,441.26,442.49,39578.93,Books,North,4.0
PROD0700,341,2023-11-09,10,SUP0022,WH019,2.58,0.13,0,50,22,750.02,504.12,0,518.31,357.11,23525.98,Home,East,4.5
PROD0134,255,2023-02-04,7,SUP0090,WH048,1.78,0.23,1,176,80,854.45,437.07,0,822.27,233.5,18091.94,Clothing,South,3.3
PROD0181,80,2023-10-17,27,SUP0067,WH007,3.9,0.03,0,50,42,394.86,497.71,1,492.77,82.61,37659.02,Electronics,North,4.6
PROD0865,289,2022-10-04,3,SUP0043,WH033,5.61,0.14,1,296,52,475.55,745.03,0,513.23,249.35,45021.32,Books,North,3.6
PROD0362,89,2022-07-15,20,SUP0125,WH041,11.45,0.29,0,144,56,748.61,945.62,1,876.75,146.66,48661.42,Clothing,North,4.0
PROD0551,121,2023-03-07,3,SUP0018,WH037,7.24,0.07,1,206,57,481.4,948.42,1,797.95,209.67,38023.88,Clothing,North,4.1
PROD0630,23,2022-07-13,27,SUP0173,WH021,13.97,0.01,0,240,69,934.52,428.99,0,253.25,368.33,27386.57,Home,South,3.0
PROD0292,619,2023-12-28,29,SUP0118,WH046,8.71,0.18,1,248,33,587.65,578.63,1,286.89,457.83,29968.67,Electronics,West,1.9
PROD0196,605,2023-12-24,26,SUP0183,WH042,8.66,0.19,1,109,83,738.96,312.75,0,214.07,389.78,22729.39,Home,North,2.3
PROD0106,694,2022-11-05,19,SUP0052,WH030,6.85,0.22,0,76,87,414.84,917.21,1,589.51,195.11,44085.8,Clothing,South,1.9
PROD0070,950,2022-02-10,26,SUP0029,WH046,1.77,0.29,0,253,40,819.22,146.98,0,856.77,443.33,31965.3,Electronics,West,3.5
PROD0616,95,2023-05-05,29,SUP0045,WH046,2.26,0.22,0,61,53,545.06,216.93,1,544.21,352.08,37131.29,Home,West,4.9
PROD0126,15,2022-04-07,19,SUP0029,WH006,9.49,0.28,0,195,36,165.46,387.21,1,579.38,471.78,2992.54,Clothing,West,1.3
PROD0824,430,2022-11-30,20,SUP0128,WH026,6.2,0.02,0,224,20,150.59,155.24,0,609.34,388.77,49920.47,Electronics,South,2.0
PROD0293,106,2022-11-29,22,SUP0050,WH006,7.07,0.2,0,57,45,407.33,562.45,0,107.63,355.58,7879.92,Clothing,North,2.6
PROD0628,81,2022-06-01,2,SUP0024,WH024,10.32,0.19,1,159,27,377.68,582.34,0,160.75,84.02,31795.04,Clothing,North,3.2
PROD0880,327,2023-11-24,13,SUP0129,WH031,9.97,0.27,0,208,86,117.89,746.21,1,851.08,192.17,19959.96,Home,East,1.1
PROD0906,981,2023-11-01,23,SUP0173,WH029,5.6,0.13,1,195,43,540.85,717.27,0,290.68,477.51,43144.98,Electronics,North,1.5
PROD0953,331,2023-07-05,5,SUP0173,WH047,13.87,0.2,0,82,49,170.51,128.31,0,133.31,390.88,1929.66,Home,West,4.4
PROD0768,722,2022-03-31,17,SUP0101,WH006,8.23,0.25,0,83,69,610.75,723.67,0,513.97,381.79,2260.34,Home,South,3.7
PROD0107,647,2022-04-01,27,SUP0019,WH023,5.7,0.29,0,217,36,573.47,597.0,0,921.36,179.96,43923.08,Clothing,South,4.4
PROD0647,793,2022-01-30,18,SUP0144,WH012,7.75,0.01,1,190,96,388.36,233.37,0,985.11,411.23,49563.34,Home,North,3.8
PROD0040,996,2022-10-12,28,SUP0095,WH036,14.82,0.29,1,125,86,104.2,941.99,0,885.43,182.1,8156.1,Home,South,1.8
PROD0350,693,2023-02-12,28,SUP0131,WH032,11.03,0.19,1,244,89,599.83,693.51,1,992.85,197.63,47875.67,Electronics,North,1.6
PROD0884,348,2022-12-16,7,SUP0074,WH001,7.71,0.08,0,139,37,490.05,343.13,0,936.44,498.64,17029.77,Books,East,1.1
PROD0694,924,2022-04-27,14,SUP0086,WH033,10.92,0.22,1,292,44,279.02,882.22,0,322.56,56.66,12732.26,Clothing,South,1.1
PROD0606,136,2023-09-09,20,SUP0030,WH046,13.14,0.04,1,153,45,982.6,979.41,1,611.43,284.39,27525.8,Home,North,3.2
PROD0705,12/05/2023,2022-04-05,9,SUP0115,WH022,9.59,0.17,0,74,53,245.4,368.09,1,212.2,197.83,42318.28,Clothing,North,2.7
PROD0155,229,2022-02-27,20,SUP0083,WH039,11.66,0.12,0,157,99,774.73,510.09,1,171.14,169.54,42473.32,Home,East,2.2
