ProductID,Category,LaunchDate,Cost,Price,Margin,UnitsSold,StockLevel,BundleID,Rating,ReturnRate,SupplierID,WarrantyMonths,IsFeatured,Color,Size,Weight,Material,EcoFriendly,Season
PROD0643,Electronics,2022-05-09,287.35,920.32,632.97,392,142,BND044,1.9,0.26,SUP0022,4,False,White,L,0.17,Fabric,True,Summer
PROD0418,Electronics,2023-10-18,193.23,998.51,805.28,267,538,BND085,3.1,0.03,SUP0091,3,False,Black,XL,2.35,Fabric,True,Fall
PROD0308,Clothing,2023-04-18,67.16,430.13,362.97,435,463,BND054,4.3,0.13,SUP0197,3,False,Green,XL,4.64,Wood,True,Summer
PROD0184,Clothing,2023-06-04,44.1,961.84,917.74,389,634,BND087,2.0,0.05,SUP0191,2,True,Black,XL,3.21,Metal,True,Spring
PROD0614,Clothing,2022-09-11,227.1,172.15,-54.94999999999999,166,332,BND016,2.0,0.14,SUP0058,28,False,White,L,0.8,Wood,True,Summer
PROD0784,Home,2022-05-25,91.23,90.53,-0.7000000000000028,314,331,BND025,4.0,0.2,SUP0023,10,False,White,S,3.69,Wood,True,Fall
PROD0543,Toys,2022-11-10,174.44,128.53,-45.91,10,733,BND048,1.1,0.13,SUP0037,8,True,White,L,1.43,Plastic,False,Summer
PROD0356,Electronics,2022-04-04,78.44,960.42,881.98,305,293,BND043,3.3,0.15,SUP0131,27,False,Blue,M,0.43,Metal,True,Spring
PROD0100,Home,2022-08-02,27.33,976.7,949.37,399,795,BND010,1.2,0.3,SUP0040,14,True,Green,XL,4.72,Metal,False,Summer
PROD0506,Books,2023-11-20,126.27,23.52,-102.75,458,536,BND097,2.3,0.21,SUP0181,28,True,Red,M,4.29,Plastic,True,Spring
PROD0556,Electronics,2022-07-28,222.07,486.08,264.01,364,456,BND070,1.7,0.27,SUP0030,8,True,Black,L,1.55,Wood,False,Fall
PROD0704,Books,2023-12-19,218.53,566.34,347.81000000000006,337,973,BND092,3.4,0.06,SUP0084,18,False,White,L,3.87,Fabric,True,Winter
PROD0396,Electronics,2023-09-10,60.31,931.07,870.76,411,346,BND049,1.2,0.01,SUP0091,9,False,White,L,4.09,Fabric,False,Fall
PROD0649,Toys,2023-01-06,80.06,357.2,277.14,354,890,BND024,4.9,0.26,SUP0166,5,True,White,M,2.1,Plastic,False,Spring
PROD0220,Clothing,2023-10-29,131.4,729.32,597.9200000000001,301,479,BND006,1.6,0.09,SUP0132,33,True,Green,M,2.8,Fabric,False,Summer
PROD0747,Books,2023-05-17,238.55,282.92,44.370000000000005,275,335,BND072,3.9,0.11,SUP0134,23,False,Blue,M,4.81,Plastic,False,Fall
PROD0875,Toys,2022-01-09,208.39,978.36,769.97,215,101,BND097,4.1,0.09,SUP0071,2,False,Green,M,4.55,Wood,True,Spring
PROD0978,Home,2023-07-01,220.0,543.51,323.51,455,262,BND087,1.7,0.02,SUP0119,10,True,Black,L,3.42,Wood,False,Summer
PROD0364,Clothing,2022-01-04,112.96,441.11,328.15000000000003,112,287,BND038,4.3,0.09,SUP0029,27,True,Blue,M,3.99,Metal,True,Fall
PROD0365,Toys,2022-11-08,258.01,619.79,361.78,57,238,BND090,1.1,0.05,SUP0158,26,True,Red,L,3.98,Fabric,False,Spring
PROD0619,Toys,2022-12-06,249.17,229.85,-19.319999999999993,373,827,BND096,3.6,0.23,SUP0005,15,False,Green,L,1.66,Metal,True,Fall
PROD0344,Toys,2022-01-01,55.51,401.4,345.89,271,898,BND003,2.4,0.14,SUP0115,31,True,Black,XL,0.65,Fabric,True,Fall
