ReturnID,OrderID,ProductID,CustomerID,ReturnDate,OrderDate,ReturnReason,RefundAmount,ProductCategory,Region,IsDefective,QualityScore,ReturnWindowDays,RestockingFee,ReturnApproved,CustomerSatisfaction,SupportInteractionCount,ReturnProcessingTime,Courier,ReturnType
RET000000,ORD000000,PROD0346,CUST00591,2023-05-30,2022-06-28,Changed Mind,760.09,Home,South,0,2.8,14,3.06,0,2.8,6,9,UPS,Full
RET000001,ORD000001,PROD0978,CUST02068,2023-12-15,2023-02-03,Defective,651.47,Books,North,1,3.7,21,16.11,1,3.3,2,7,Local,Partial
RET000002,ORD000002,PROD0448,CUST02813,2022-11-12,2022-03-02,Defective,57.22,Books,North,0,3.9,22,6.11,1,1.4,7,4,FedEx,Partial
RET000003,ORD000003,PROD0897,CUST01643,2023-05-01,2023-02-27,Defective,87.75,Clothing,North,1,1.9,25,20.74,1,2.4,8,8,UPS,Partial
RET000004,ORD000004,PROD0643,CUST01313,2022-12-06,2022-04-13,Wrong Item,122.01,Books,North,0,2.8,22,17.02,1,1.3,4,11,UPS,Partial
RET000005,ORD000005,PROD0059,CUST00309,2023-02-11,2023-12-04,Wrong Item,412.41,Books,South,1,3.0,11,29.13,1,2.6,2,5,UPS,Partial
RET000006,ORD000006,PROD0436,CUST00360,2022-11-25,2023-10-27,Wrong Item,89.42,Clothing,South,1,4.4,7,3.01,0,4.6,1,12,DHL,Partial
RET000007,ORD000007,PROD0525,CUST02065,2023-06-23,2022-11-17,Changed Mind,931.3,Electronics,North,0,2.3,27,13.22,0,4.9,8,11,FedEx,Full
RET000008,ORD000008,PROD0034,CUST02906,2023-04-09,2022-09-27,Defective,994.28,Home,East,1,1.4,9,33.95,0,2.9,0,1,FedEx,Full
RET000009,ORD000009,PROD0945,CUST02692,2022-03-18,2022-04-07,Defective,410.84,Home,West,1,4.0,25,41.46,0,3.2,8,4,FedEx,Partial
RET000010,ORD000010,PROD0124,CUST01434,2023-09-19,2023-09-13,Defective,507.23,Electronics,South,1,3.6,7,25.44,0,4.5,3,10,Local,Full
RET000011,ORD000011,PROD0161,CUST01998,2022-03-20,2023-02-26,Wrong Item,137.26,Clothing,North,1,1.1,15,9.21,0,1.1,2,10,DHL,Full
RET000012,ORD000012,PROD0815,CUST00857,2022-04-03,2022-08-21,Late Delivery,188.23,Electronics,South,1,3.8,18,39.5,0,3.7,4,13,Local,Partial
RET000013,ORD000013,PROD0821,CUST00483,2023-12-18,2022-05-22,Late Delivery,727.91,Clothing,South,0,2.0,14,33.07,1,4.2,9,11,Local,Partial
RET000014,ORD000014,PROD0722,CUST00983,2023-02-01,2023-05-03,Defective,437.87,Electronics,East,1,3.7,27,35.0,1,2.7,5,1,FedEx,Full
RET000015,ORD000015,PROD0223,CUST00088,2022-06-14,2023-03-31,Defective,564.36,Books,East,0,2.7,28,40.64,1,4.1,6,8,UPS,Full
RET000016,ORD000016,PROD0449,CUST02629,2023-03-02,2023-10-07,Wrong Item,681.7,Clothing,West,1,3.2,10,42.31,1,3.7,9,4,UPS,Partial
RET000017,ORD000017,PROD0898,CUST01683,2023-09-19,2022-10-26,Changed Mind,876.31,Electronics,East,1,3.7,19,31.91,0,3.9,7,10,Local,Partial
RET000018,ORD000018,PROD0586,CUST02670,2023-06-12,2023-07-04,Defective,788.89,Clothing,East,0,2.5,14,0.1,0,3.5,8,6,Local,Full
RET000019,ORD000019,PROD0424,CUST00159,2023-02-10,2022-05-04,Changed Mind,672.83,Electronics,North,0,1.8,11,3.13,0,4.2,6,13,FedEx,Partial
RET000020,ORD000020,PROD0832,CUST01199,2023-07-29,2022-03-31,Late Delivery,601.87,Home,East,1,4.5,19,17.07,1,4.8,1,7,UPS,Full
RET000021,ORD000021,PROD0885,CUST01577,2023-10-03,2022-05-21,Defective,21.11,Home,North,1,3.6,24,4.04,1,1.7,2,4,FedEx,Full
RET000022,ORD000022,PROD0056,CUST01387,2022-12-08,2022-09-09,Wrong Item,214.83,Home,East,1,3.6,18,47.74,1,3.4,8,6,Local,Partial
,ORD000023,PROD0558,CUST00230,2022-08-19,2022-05-11,Wrong Item,302.96,Home,East,1,3.9,14,9.2,1,2.6,8,1,DHL,Partial
RET000024,ORD000024,PROD0443,CUST02600,2022-05-20,2023-07-30,Wrong Item,417.42,Books,South,0,2.4,22,11.42,0,4.7,5,2,Local,Partial
RET000025,ORD000025,PROD0121,CUST00451,2023-06-23,2022-09-30,Wrong Item,502.48,Electronics,North,0,4.8,29,46.49,1,4.8,7,14,DHL,Partial
RET000026,ORD000026,PROD0369,CUST00626,2023-06-25,2022-03-20,Late Delivery,315.14,Clothing,West,0,4.5,18,10.91,0,4.6,5,12,DHL,Full
RET000027,ORD000027,PROD0139,CUST01345,2022-11-28,2023-09-16,Wrong Item,701.68,Electronics,North,1,4.1,12,20.39,1,2.1,4,9,DHL,Full
RET000028,ORD000028,PROD0956,CUST02546,2023-05-13,2022-05-11,Wrong Item,31.25,Books,West,1,4.3,8,34.93,0,4.1,5,11,Local,Partial
RET000029,ORD000029,PROD0574,CUST00583,2023-02-15,2022-12-17,Defective,441.3,Books,North,1,4.8,20,40.77,0,3.7,6,6,DHL,Full
RET000030,ORD000030,PROD0353,CUST00895,2022-11-17,2022-08-27,Wrong Item,743.89,Books,East,0,2.1,9,32.62,0,3.8,6,9,UPS,Partial
RET000031,ORD000031,PROD0961,CUST01796,2023-04-18,2023-10-03,Changed Mind,124.11,Electronics,West,1,3.2,19,49.91,0,2.6,1,11,DHL,Full
RET000032,ORD000032,PROD0015,CUST00117,2023-02-08,2023-04-14,Defective,186.13,Clothing,West,1,1.8,16,24.29,1,1.8,8,9,Local,Partial
RET000033,ORD000033,PROD0621,CUST00534,2022-07-07,2023-12-14,Late Delivery,564.74,Clothing,North,0,3.9,28,29.59,1,1.1,4,9,FedEx,Full
RET000034,ORD000034,PROD0472,CUST00774,2023-11-11,2023-03-21,Changed Mind,831.22,Home,South,1,2.6,21,20.29,1,2.1,1,5,UPS,Full
RET000035,ORD000035,PROD0039,CUST01132,2023-04-30,2023-05-23,Wrong Item,474.51,Books,West,0,4.7,7,45.94,1,3.7,1,10,UPS,Full
RET000036,ORD000036,PROD0744,CUST01487,2023-11-02,2023-03-21,Changed Mind,932.17,Clothing,South,1,3.1,16,1.58,1,1.2,4,7,DHL,Full
RET000037,ORD000037,PROD0899,CUST01046,2023-01-29,2023-06-21,Late Delivery,53.81,Home,East,0,1.5,9,29.0,1,4.0,5,3,DHL,Partial
RET000038,ORD000038,PROD0992,CUST01122,2023-06-08,2023-02-03,Changed Mind,136.9,Electronics,West,0,4.3,25,24.44,0,3.9,6,9,DHL,Partial
RET000039,ORD000039,PROD0055,CUST00296,2023-01-17,2023-09-21,Changed Mind,95.9,Books,North,1,3.5,25,2.84,1,3.7,6,3,DHL,Full
RET000040,ORD000040,PROD0699,CUST00915,2023-04-17,2022-05-16,Changed Mind,402.6,Books,North,0,5.0,23,34.17,0,1.1,0,7,DHL,Full
RET000041,ORD000041,PROD0290,CUST00766,2023-11-26,2023-08-18,Changed Mind,759.11,Books,East,0,1.3,24,25.08,0,2.5,2,7,FedEx,Partial
RET000042,ORD000042,PROD0950,CUST02327,2023-02-27,2023-06-06,Late Delivery,658.32,Electronics,North,0,1.3,7,7.09,1,4.7,3,5,UPS,Partial
RET000043,ORD000043,PROD0701,CUST00364,2023-01-15,2022-07-25,Changed Mind,145.56,Books,North,1,1.7,9,44.48,0,2.2,0,5,DHL,Full
RET000044,ORD000044,PROD0703,CUST01029,2023-05-27,2022-12-02,Defective,294.32,Electronics,East,0,1.5,14,9.4,1,3.8,3,14,FedEx,Full
RET000045,ORD000045,PROD0934,CUST01450,2023-02-07,2022-04-28,Changed Mind,812.26,Home,West,1,4.0,17,6.72,1,3.6,7,1,FedEx,Full
RET000046,ORD000046,PROD0091,CUST01242,2023-03-12,2023-11-13,Defective,61.68,Electronics,North,0,1.4,29,48.8,1,4.5,2,7,Local,Partial
RET000047,ORD000047,PROD0289,CUST00467,2022-01-18,2023-12-04,Wrong Item,61.17,Books,East,1,4.4,27,15.61,1,1.2,2,13,Local,Partial
RET000048,ORD000048,PROD0257,CUST02785,2023-03-10,2022-12-29,Changed Mind,623.93,Electronics,South,0,3.1,25,41.72,0,4.0,2,6,UPS,Full
RET000049,ORD000049,PROD0876,CUST00657,2022-11-26,2022-10-21,Changed Mind,873.89,Electronics,South,1,4.6,20,41.53,1,1.8,7,2,UPS,Partial
RET000050,ORD000050,PROD0857,CUST00443,2022-06-13,2022-05-07,Late Delivery,611.4,Clothing,North,1,4.7,17,23.62,1,1.4,1,9,DHL,Partial
RET000051,ORD000051,PROD0470,CUST02048,2022-12-28,2022-01-20,Changed Mind,437.07,Electronics,West,0,3.4,23,34.55,1,1.8,7,9,Local,Partial
RET000052,ORD000052,PROD0735,CUST00209,2023-01-19,2022-06-05,Changed Mind,269.06,Clothing,North,0,2.8,22,11.2,0,2.0,1,2,Local,Full
RET000053,ORD000053,PROD0827,CUST00755,2023-11-05,2023-06-30,Wrong Item,707.98,Clothing,West,0,3.3,21,24.14,0,3.7,8,7,Local,Partial
RET000054,ORD000054,PROD0865,CUST02048,2023-02-16,2022-12-29,Changed Mind,56.05,Clothing,East,0,4.5,15,36.61,1,3.5,9,4,FedEx,Partial
RET000055,ORD000055,PROD0431,CUST00019,2023-03-28,2023-10-24,Changed Mind,521.82,Electronics,South,0,2.9,8,20.3,1,2.5,0,10,Local,Full
RET000056,ORD000056,PROD0371,CUST02670,2022-09-15,2023-07-15,Late Delivery,53.39,Books,West,1,1.1,8,30.16,1,1.8,5,5,Local,Full
,ORD000057,PROD0843,CUST01885,2023-09-04,2022-07-02,Late Delivery,302.7,Electronics,East,0,2.0,13,44.09,1,2.0,3,10,FedEx,Partial
RET000058,ORD000058,PROD0617,CUST00658,2022-08-03,2022-07-17,Late Delivery,10.9,Books,South,0,4.2,10,4.7,1,1.7,5,12,FedEx,Full
RET000059,ORD000059,PROD0503,CUST02895,2023-03-16,2023-08-31,Late Delivery,679.36,Clothing,East,1,2.3,25,31.59,1,4.2,0,5,Local,Full
,ORD000060,PROD0408,CUST02476,2023-01-10,2023-06-27,Changed Mind,395.55,Electronics,East,1,3.4,27,45.08,0,3.5,6,14,FedEx,Partial
RET000061,ORD000061,PROD0330,CUST02673,2023-12-08,2022-11-28,Defective,536.48,Clothing,West,0,3.7,15,14.02,0,1.5,7,1,DHL,Full
RET000062,ORD000062,PROD0496,CUST01569,2022-06-14,2023-09-22,Wrong Item,594.12,Clothing,North,0,2.8,7,25.19,1,2.1,3,5,Local,Partial
RET000063,ORD000063,PROD0083,CUST01316,2023-12-31,2023-03-08,Defective,897.17,Books,North,1,2.3,26,42.45,1,1.3,3,11,DHL,Partial
RET000064,ORD000064,PROD0272,CUST02862,2023-01-05,2023-10-20,Late Delivery,203.08,Electronics,West,0,1.1,25,7.49,1,4.5,8,6,UPS,Partial
RET000065,ORD000065,PROD0777,CUST00018,2022-02-13,2023-05-25,Late Delivery,304.44,Home,South,0,4.3,7,25.27,0,4.1,5,2,Local,Partial
RET000066,ORD000066,PROD0525,CUST02756,2023-05-02,2023-07-06,Late Delivery,985.96,Books,North,1,1.0,12,45.02,1,2.9,7,3,FedEx,Partial
RET000067,ORD000067,PROD0276,CUST01614,2023-06-17,2023-02-24,Wrong Item,997.99,Home,South,0,3.7,18,21.33,1,2.9,7,10,Local,Partial
RET000068,ORD000068,PROD0679,CUST01999,2023-05-10,2022-06-26,Late Delivery,380.51,Home,North,1,2.9,27,31.46,1,2.4,7,3,Local,Partial
RET000069,ORD000069,PROD0291,CUST00253,2023-03-06,2023-05-15,Defective,564.89,Electronics,East,1,2.0,9,19.98,1,1.2,1,3,UPS,Full
RET000070,ORD000070,PROD0270,CUST00896,2023-08-27,2023-05-09,Wrong Item,384.3,Electronics,North,1,3.4,16,35.25,1,2.9,9,11,Local,Full
RET000071,ORD000071,PROD0800,CUST02120,2023-02-04,2022-11-08,Late Delivery,88.16,Clothing,East,0,1.1,8,43.13,0,4.3,0,8,DHL,Full
RET000072,ORD000072,PROD0801,CUST01908,2023-10-17,2023-01-07,Late Delivery,16.73,Books,East,1,2.9,27,32.57,0,3.5,8,5,FedEx,Partial
RET000073,ORD000073,PROD0794,CUST02410,2023-08-03,2023-08-09,Late Delivery,122.98,Home,North,0,1.3,19,0.03,0,3.5,3,3,Local,Full
RET000074,ORD000074,PROD0828,CUST00412,2023-08-09,2023-01-16,Wrong Item,883.52,Home,East,1,1.7,12,13.31,0,2.5,1,11,FedEx,Full
RET000075,ORD000075,PROD0023,CUST00918,2023-12-04,2023-11-10,Wrong Item,904.12,Books,West,1,3.2,18,41.47,1,3.0,1,9,DHL,Full
RET000076,ORD000076,PROD0336,CUST02749,2022-05-23,2022-04-19,Late Delivery,120.91,Clothing,West,0,3.3,21,36.27,1,2.4,3,3,DHL,Partial
RET000077,ORD000077,PROD0638,CUST02514,2023-05-09,2022-08-31,Changed Mind,395.86,Electronics,North,1,4.7,29,8.74,1,3.4,8,11,FedEx,Full
RET000078,ORD000078,PROD0740,CUST01025,2023-06-17,2023-10-12,Changed Mind,559.72,Electronics,North,0,3.2,15,13.82,1,2.6,8,14,Local,Partial
RET000079,ORD000079,PROD0047,CUST00313,2022-07-19,2022-03-12,Changed Mind,278.62,Books,East,1,4.1,10,31.45,1,4.5,6,5,DHL,Full
RET000080,ORD000080,PROD0255,CUST01953,2023-08-13,2022-03-12,Wrong Item,861.77,Clothing,West,1,1.1,18,8.36,1,2.7,9,10,UPS,Full
RET000081,ORD000081,PROD0562,CUST01048,2022-03-25,2022-09-15,Changed Mind,561.26,Books,West,1,1.2,26,19.69,1,3.0,0,8,UPS,Partial
RET000082,ORD000082,PROD0555,CUST01443,2022-11-06,2023-04-01,Defective,305.9,Books,South,1,2.7,11,7.26,1,4.1,0,13,UPS,Full
RET000083,ORD000083,PROD0844,CUST01350,2023-07-05,2022-09-16,Wrong Item,263.97,Books,North,0,2.7,14,17.25,0,4.1,7,8,DHL,Full
RET000084,ORD000084,PROD0196,CUST00274,2022-01-19,2023-05-15,Late Delivery,651.01,Books,West,1,3.9,18,17.89,1,4.1,7,14,Local,Full
RET000085,ORD000085,PROD0264,CUST02008,2022-05-03,2022-05-04,Changed Mind,115.69,Clothing,South,1,1.1,14,47.35,1,3.5,8,5,FedEx,Full
RET000086,ORD000086,PROD0612,CUST01528,2023-12-11,2022-11-29,Changed Mind,196.53,Clothing,North,1,3.8,8,27.62,1,2.0,4,4,DHL,Partial
